 close, high, low, open, volume,Date,Ticker
,,,,,2004-11-30,CFG
,,,,,2004-12-31,CFG
,,,,,2005-01-31,CFG
,,,,,2005-02-28,CFG
,,,,,2005-03-31,CFG
,,,,,2005-04-29,CFG
,,,,,2005-05-31,CFG
,,,,,2005-06-30,CFG
,,,,,2005-07-29,CFG
,,,,,2005-08-31,CFG
,,,,,2005-09-30,CFG
,,,,,2005-10-31,CFG
,,,,,2005-11-30,CFG
,,,,,2005-12-30,CFG
,,,,,2006-01-31,CFG
,,,,,2006-02-28,CFG
,,,,,2006-03-31,CFG
,,,,,2006-04-28,CFG
,,,,,2006-05-31,CFG
,,,,,2006-06-30,CFG
,,,,,2006-07-31,CFG
,,,,,2006-08-31,CFG
,,,,,2006-09-29,CFG
,,,,,2006-10-31,CFG
,,,,,2006-11-30,CFG
,,,,,2006-12-29,CFG
,,,,,2007-01-31,CFG
,,,,,2007-02-28,CFG
,,,,,2007-03-30,CFG
,,,,,2007-04-30,CFG
,,,,,2007-05-31,CFG
,,,,,2007-06-29,CFG
,,,,,2007-07-31,CFG
,,,,,2007-08-31,CFG
,,,,,2007-09-28,CFG
,,,,,2007-10-31,CFG
,,,,,2007-11-30,CFG
,,,,,2007-12-31,CFG
,,,,,2008-01-31,CFG
,,,,,2008-02-29,CFG
,,,,,2008-03-31,CFG
,,,,,2008-04-30,CFG
,,,,,2008-05-30,CFG
,,,,,2008-06-30,CFG
,,,,,2008-07-31,CFG
,,,,,2008-08-29,CFG
,,,,,2008-09-30,CFG
,,,,,2008-10-31,CFG
,,,,,2008-11-28,CFG
,,,,,2008-12-31,CFG
,,,,,2009-01-30,CFG
,,,,,2009-02-27,CFG
,,,,,2009-03-31,CFG
,,,,,2009-04-30,CFG
,,,,,2009-05-29,CFG
,,,,,2009-06-30,CFG
,,,,,2009-07-31,CFG
,,,,,2009-08-31,CFG
,,,,,2009-09-30,CFG
,,,,,2009-10-30,CFG
,,,,,2009-11-30,CFG
,,,,,2009-12-31,CFG
,,,,,2010-01-29,CFG
,,,,,2010-02-26,CFG
,,,,,2010-03-31,CFG
,,,,,2010-04-30,CFG
,,,,,2010-05-28,CFG
,,,,,2010-06-30,CFG
,,,,,2010-07-30,CFG
,,,,,2010-08-31,CFG
,,,,,2010-09-30,CFG
,,,,,2010-10-29,CFG
,,,,,2010-11-30,CFG
,,,,,2010-12-31,CFG
,,,,,2011-01-31,CFG
,,,,,2011-02-28,CFG
,,,,,2011-03-31,CFG
,,,,,2011-04-29,CFG
,,,,,2011-05-31,CFG
,,,,,2011-06-30,CFG
,,,,,2011-07-29,CFG
,,,,,2011-08-31,CFG
,,,,,2011-09-30,CFG
,,,,,2011-10-31,CFG
,,,,,2011-11-30,CFG
,,,,,2011-12-30,CFG
,,,,,2012-01-31,CFG
,,,,,2012-02-29,CFG
,,,,,2012-03-30,CFG
,,,,,2012-04-30,CFG
,,,,,2012-05-31,CFG
,,,,,2012-06-29,CFG
,,,,,2012-07-31,CFG
,,,,,2012-08-31,CFG
,,,,,2012-09-28,CFG
,,,,,2012-10-31,CFG
,,,,,2012-11-30,CFG
,,,,,2012-12-31,CFG
,,,,,2013-01-31,CFG
,,,,,2013-02-28,CFG
,,,,,2013-03-28,CFG
,,,,,2013-04-30,CFG
,,,,,2013-05-31,CFG
,,,,,2013-06-28,CFG
,,,,,2013-07-31,CFG
,,,,,2013-08-30,CFG
,,,,,2013-09-30,CFG
,,,,,2013-10-31,CFG
,,,,,2013-11-29,CFG
,,,,,2013-12-31,CFG
,,,,,2014-01-31,CFG
,,,,,2014-02-28,CFG
,,,,,2014-03-31,CFG
,,,,,2014-04-30,CFG
,,,,,2014-05-30,CFG
,,,,,2014-06-30,CFG
,,,,,2014-07-31,CFG
,,,,,2014-08-29,CFG
,,,,,2014-09-30,CFG
23.6200,23.9600,21.4700,23.2200,41919174,2014-10-31,CFG
24.6300,25.0900,23.1600,23.4900,18219755,2014-11-28,CFG
24.8600,25.6000,23.4900,24.6200,34487496,2014-12-31,CFG
23.9000,25.0000,22.6700,24.9700,24144534,2015-01-30,CFG
24.8400,25.7400,23.6900,23.8500,20632702,2015-02-27,CFG
24.1300,25.8400,23.8300,24.8000,122080338,2015-03-31,CFG
26.0500,26.2900,24.0300,24.1500,72452560,2015-04-30,CFG
26.8400,26.9900,25.5700,26.1500,74127350,2015-05-29,CFG
27.3100,28.7100,26.7200,26.9100,162171919,2015-06-30,CFG
26.0700,28.1825,25.4800,27.5300,151204565,2015-07-31,CFG
24.8200,27.2600,21.1400,26.1800,102452978,2015-08-31,CFG
23.8600,25.2300,22.5650,24.4700,88260211,2015-09-30,CFG
24.3000,24.4900,22.4800,23.7500,148313850,2015-10-30,CFG
