 close, high, low, open, volume,Date,Ticker
45.9400,46.7500,44.8900,46.3600,47550100,2003-11-28,LMT
51.4000,51.4700,45.7900,46.2500,43050500,2003-12-31,LMT
48.6200,52.1900,48.2000,51.4000,54479200,2004-01-30,LMT
46.2800,49.7500,45.8700,48.6400,56394700,2004-02-27,LMT
45.6400,46.7000,43.1000,46.1000,98027500,2004-03-31,LMT
47.7000,48.1600,45.7300,46.0000,52812500,2004-04-30,LMT
49.5400,49.9000,46.3800,47.5500,44757600,2004-05-28,LMT
52.0800,52.5000,48.3900,49.4400,40985200,2004-06-30,LMT
52.9900,55.4800,51.0500,51.6000,47230000,2004-07-30,LMT
53.7800,55.4600,52.0500,53.0200,36301900,2004-08-31,LMT
55.7800,56.0000,52.9200,53.9500,29385200,2004-09-30,LMT
55.0900,56.8500,52.1900,56.0000,36343700,2004-10-29,LMT
60.8400,60.8700,53.8615,55.2500,36418200,2004-11-30,LMT
55.5500,61.7700,54.6560,60.8400,58519800,2004-12-31,LMT
57.8100,57.9800,52.5400,55.4000,66043000,2005-01-31,LMT
59.2200,60.2400,57.4000,57.8100,34812100,2005-02-28,LMT
61.0600,61.4700,58.7700,59.3000,52206600,2005-03-31,LMT
60.9500,62.9800,58.2800,61.1500,43707600,2005-04-29,LMT
64.8900,65.4600,60.9500,61.0000,45147200,2005-05-31,LMT
64.8700,65.3900,62.8700,64.8900,41364500,2005-06-30,LMT
62.4000,65.2400,60.9300,64.8700,43158200,2005-07-29,LMT
62.2400,63.5500,61.3400,63.3500,37396400,2005-08-31,LMT
61.0400,63.5000,59.8200,62.6000,37591200,2005-09-30,LMT
60.5600,62.8600,58.5000,61.2000,40108400,2005-10-31,LMT
60.6000,61.9700,58.8800,60.5000,50775800,2005-11-30,LMT
63.6300,64.2800,61.2600,61.7500,34697600,2005-12-30,LMT
67.6500,68.0000,62.5200,63.3000,43775200,2006-01-31,LMT
72.8700,74.9700,67.6100,67.7100,49350600,2006-02-28,LMT
